1311,	3
1312,	5
1314,	11
1315,	19
1316,	10
1317,	1
5682,	73
1326,	33
1327,	1
1329,	2
1345,	1
1355,	11
1356,	6
1361,	3
1363,	18
1364,	4
1365,	5
1366,	3
1368,	2
1369,	5
1370,	1
1373,	4
1378,	7
1380,	10
1381,	1
1382,	2
1385,	33
1386,	29
1387,	178
1388,	5
1390,	20
1392,	3
1393,	1
1394,	8
1395,	5
1396,	3
1397,	7
1398,	66
1399,	47
1400,	54
1401,	12
1404,	7
1406,	7
1407,	11
1408,	4
1409,	11
1410,	12
1411,	1
1412,	1
1414,	2
1415,	5
1420,	5
1429,	3
1431,	17
1432,	69
1434,	14
1435,	6
1436,	16
1437,	8
1438,	9
1439,	26
1440,	2
1441,	17
1442,	5
1443,	2
1445,	34
1446,	4
1447,	4
1448,	2
1452,	30
1453,	17
1454,	20
1455,	3
1456,	1
1457,	151
1459,	69
1460,	47
1462,	20
1463,	6
1464,	7
114932,	2
1466,	3
1468,	9
1470,	1
1471,	7
1473,	1
1475,	6
1476,	9
1477,	98
1478,	112
1479,	5
1482,	9
1485,	4
1487,	32
1488,	24
1489,	2
1490,	9
1491,	1
1493,	14
1495,	19
1496,	1
1499,	122
1500,	20
1501,	11
1503,	11
1504,	3
1506,	1
1508,	22
1509,	14
1510,	6
1511,	24
1512,	4
1513,	5
1514,	21
1520,	6
1523,	16
1524,	1
1525,	1
1527,	1
1528,	7
1535,	7
1536,	7
1537,	3
1540,	5
1543,	1
1544,	1
1545,	1
1548,	1
1549,	1
1557,	1
1559,	1
1571,	1
1576,	2
1580,	1
1583,	5
1584,	1
1585,	3
1586,	2
1588,	2
645737,	1
11189,	5
1600,	21
1601,	24
1602,	10
1603,	4
1604,	7
1605,	16
1606,	3
1607,	2
1609,	1
1610,	1
1611,	3
1612,	12
1613,	9
1615,	5
1616,	47
1617,	8
1618,	7
1620,	1
1621,	1
1622,	2
1627,	10
1628,	4
1629,	10
1630,	12
1632,	5
1633,	6
1634,	26
1635,	8
1636,	3
1638,	1
1639,	39
1641,	7
1642,	50
1643,	26
1645,	1
1646,	1
1647,	17
1649,	17
1650,	15
1652,	5
1653,	4
1654,	4
1655,	29
1656,	10
1660,	124
1663,	2
1665,	2
1666,	2
1667,	4
1668,	1
1670,	1
1671,	3
1672,	4
1673,	2
1674,	14
1675,	2
1676,	22
1677,	4
1678,	2
1687,	1
165530,	1
1716,	2
1717,	5
1718,	1
1719,	5
1723,	2
1725,	8
1727,	5
1728,	4
1729,	9
1730,	3
1731,	4
1733,	1
1734,	2
1735,	1
1736,	5
1737,	14
1738,	28
1739,	55
1740,	29
1741,	32
1742,	88
1743,	28
1745,	1
1746,	3
1748,	1
1749,	4
1755,	4
1756,	21
1758,	2
1759,	39
1760,	11
1762,	1
1763,	14
1770,	1
1773,	4
1777,	2
1778,	18
1780,	6
1781,	3
1783,	2
1785,	29
1786,	17
1787,	12
1788,	14
1789,	15
1791,	5
1793,	9
1794,	6
1795,	3
1796,	43
1797,	9
1800,	2
1801,	2
1803,	16
1804,	1
1805,	4
1806,	3
1807,	3
1808,	7
1809,	2
1810,	4
1811,	1
1812,	10
1813,	15
1814,	10
1815,	5
1816,	4
1819,	1
1820,	4
1821,	4
1822,	89
1823,	6
1824,	6
1825,	4
1826,	1
1827,	2
1828,	10
1829,	4
1830,	4
1831,	10
1832,	36
1837,	14
1838,	16
1839,	12
1840,	8
1841,	6
1843,	10
1844,	2
1845,	11
1846,	7
1847,	2
1848,	4
1849,	3
1854,	11
1855,	24
1856,	57
1857,	28
1859,	9
1861,	7
1869,	53
1870,	19
1871,	19
1874,	20
1875,	16
1876,	9
1877,	6
1879,	5
1880,	1
132954,	1
338917,	1
1889,	2
1890,	3
1891,	8
1892,	25
1893,	4
1894,	6
1896,	4
1901,	7
1902,	1
1903,	4
1906,	10
1907,	3
1908,	5
1909,	6
1910,	7
1911,	9
1912,	15
1915,	183
1917,	17
1933,	101
1936,	115
1937,	153
1938,	95
1939,	2
1942,	14
1943,	4
1944,	5
1945,	7
1946,	8
1947,	12
1948,	18
1949,	4
1950,	12
1951,	13
1952,	3
1953,	3
1954,	3
1956,	207
1958,	11
1959,	3
1961,	1
1962,	1
1964,	117
1965,	122
1967,	72
1968,	120
1969,	19
1973,	130
1974,	122
1975,	114
1977,	134
1978,	19
1979,	1
1981,	138
1982,	13
1983,	115
1984,	6
1990,	6
1991,	30
1992,	2
1994,	15
1995,	1
1996,	3
1997,	7
1998,	2
1999,	36
2000,	5
2001,	3
2002,	24
2004,	7
2005,	7
2006,	18
2009,	3
2010,	16
2011,	8
2014,	1
2017,	25
2018,	1
2019,	2
2020,	1
2022,	13
2023,	13
2026,	22
2027,	6
2028,	3
2029,	6
2030,	1
2033,	194
2034,	6
2035,	120
2036,	9
2037,	11
2038,	10
2039,	9
2040,	8
2041,	3
2042,	9
2043,	12
2044,	5
2045,	6
2046,	4
2047,	11
2048,	23
2049,	8
2050,	4
2051,	9
2053,	1
2054,	7
2056,	2
2057,	33
2058,	20
2059,	25
2060,	29
2063,	7
2064,	47
2065,	27
2066,	25
2067,	49
2068,	93
